Bereich,Unterbereich,Teilbereich31,Teilbereich,Menge,Jahr,lfdNr
Natur- und Landschaftspflege, Grün- und Freiflächen,5,Privatrechtliche Leistungsentgelte,-27825.30,2010,8259
Natur- und Landschaftspflege, Grün- und Freiflächen,6,Kostenerstattungen und Kostenumlagen,-1154252.27,2010,8260
Natur- und Landschaftspflege, Grün- und Freiflächen,7,Sonstige ordentliche Erträge,-115415.95,2010,8261
Natur- und Landschaftspflege, Grün- und Freiflächen,8,Aktivierte Eigenleistungen,-521832.50,2010,8262
Natur- und Landschaftspflege, Grün- und Freiflächen,10,Ordentliche Erträge,-2503798.14,2010,8263
Natur- und Landschaftspflege, Grün- und Freiflächen,11,Personalaufwendungen,6529519.50,2010,8264
Natur- und Landschaftspflege, Grün- und Freiflächen,12,Versorgungsaufwendungen,95155.14,2010,8265
Natur- und Landschaftspflege, Grün- und Freiflächen,13,Aufwendungen f.Sach-/Dienstleistungen,3061413.03,2010,8266
Natur- und Landschaftspflege, Grün- und Freiflächen,14,Bilanzielle Abschreibungen,3788181.97,2010,8267
Natur- und Landschaftspflege, Grün- und Freiflächen,15,Transferaufwendungen,61500.00,2010,8268
Natur- und Landschaftspflege, Grün- und Freiflächen,16,Sonstige ordentliche Aufwendungen,359261.87,2010,8269
Natur- und Landschaftspflege, Grün- und Freiflächen,17,Ordentliche Aufwendungen,13895031.51,2010,8270
Natur- und Landschaftspflege, Grün- und Freiflächen,18,Ordentliches Ergebnis,11391233.37,2010,8271
Natur- und Landschaftspflege, Grün- und Freiflächen,20,Zinsen u. sonstige Finanzaufwendungen,506.54,2010,8272
Natur- und Landschaftspflege, Grün- und Freiflächen,21,Finanzergebnis,506.54,2010,8273
Natur- und Landschaftspflege, Grün- und Freiflächen,22,Ergebnis lfd. Verwaltungstätigkeit,11391739.91,2010,8274
Natur- und Landschaftspflege, Grün- und Freiflächen,26,Ergebnis vor int.Leistungsbeziehungen,11391739.91,2010,8275
Natur- und Landschaftspflege, Grün- und Freiflächen,28,Aufwend. aus int.Leistungsbeziehungen,-430728.00,2010,8276
Natur- und Landschaftspflege, Grün- und Freiflächen,Interne,Leistungsbeziehungen,-430728.00,2010,8277
Natur- und Landschaftspflege, Friedhöfe,2,Zuwendungen und allgemeine Umlagen,-60437.00,2010,8279
Natur- und Landschaftspflege, Friedhöfe,4,Öffentlich-rechtl. Leistungsentgelte,-1296712.14,2010,8280
Natur- und Landschaftspflege, Friedhöfe,5,Privatrechtliche Leistungsentgelte,-47316.40,2010,8281
Natur- und Landschaftspflege, Friedhöfe,6,Kostenerstattungen und Kostenumlagen,0.00,2010,8282
Natur- und Landschaftspflege, Friedhöfe,7,Sonstige ordentliche Erträge,-3653.92,2010,8283
Natur- und Landschaftspflege, Friedhöfe,8,Aktivierte Eigenleistungen,-10315.00,2010,8284
Natur- und Landschaftspflege, Friedhöfe,10,Ordentliche Erträge,-1418434.46,2010,8285
Natur- und Landschaftspflege, Friedhöfe,11,Personalaufwendungen,1237975.79,2010,8286
Natur- und Landschaftspflege, Friedhöfe,12,Versorgungsaufwendungen,16061.48,2010,8287
Natur- und Landschaftspflege, Friedhöfe,13,Aufwendungen f.Sach-/Dienstleistungen,302174.93,2010,8288
Natur- und Landschaftspflege, Friedhöfe,14,Bilanzielle Abschreibungen,124599.08,2010,8289
Natur- und Landschaftspflege, Friedhöfe,16,Sonstige ordentliche Aufwendungen,57551.73,2010,8290
Natur- und Landschaftspflege, Friedhöfe,17,Ordentliche Aufwendungen,1738363.01,2010,8291
Natur- und Landschaftspflege, Friedhöfe,18,Ordentliches Ergebnis,319928.55,2010,8292
Natur- und Landschaftspflege, Friedhöfe,22,Ergebnis lfd. Verwaltungstätigkeit,319928.55,2010,8293
Natur- und Landschaftspflege, Friedhöfe,26,Ergebnis vor int.Leistungsbeziehungen,319928.55,2010,8294
Natur- und Landschaftspflege, Friedhöfe,28,Aufwend. aus int.Leistungsbeziehungen,287840.04,2010,8295
Natur- und Landschaftspflege, Friedhöfe,Interne,Leistungsbeziehungen,287840.04,2010,8296
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",2,Zuwendungen und allgemeine Umlagen,-165073.88,2010,8298
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",4,Öffentlich-rechtl. Leistungsentgelte,-60855.06,2010,8299
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",5,Privatrechtliche Leistungsentgelte,-17074.80,2010,8300
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",6,Kostenerstattungen und Kostenumlagen,-184.94,2010,8301
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",7,Sonstige ordentliche Erträge,-69465.16,2010,8302
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",8,Aktivierte Eigenleistungen,-560.00,2010,8303
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",10,Ordentliche Erträge,-313213.84,2010,8304
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",11,Personalaufwendungen,1876302.90,2010,8305
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",12,Versorgungsaufwendungen,157156.73,2010,8306
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",13,Aufwendungen f.Sach-/Dienstleistungen,357981.06,2010,8307
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",14,Bilanzielle Abschreibungen,99371.86,2010,8308
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",15,Transferaufwendungen,116261.06,2010,8309
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",16,Sonstige ordentliche Aufwendungen,48063.07,2010,8310
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",17,Ordentliche Aufwendungen,2655136.68,2010,8311
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",18,Ordentliches Ergebnis,2341922.84,2010,8312
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",22,Ergebnis lfd. Verwaltungstätigkeit,2341922.84,2010,8313
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",26,Ergebnis vor int.Leistungsbeziehungen,2341922.84,2010,8314
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",28,Aufwend. aus int.Leistungsbeziehungen,133920.00,2010,8315
Natur- und Landschaftspflege," Natur, Landschaft, Erholung, Wasserschutz",Interne,Leistungsbeziehungen,133920.00,2010,8316
Natur- und Landschaftspflege, Fließende Gewässer,2,Zuwendungen und allgemeine Umlagen,-141946.38,2010,8318
Natur- und Landschaftspflege, Fließende Gewässer,4,Öffentlich-rechtl. Leistungsentgelte,-426997.83,2010,8319
Natur- und Landschaftspflege, Fließende Gewässer,8,Aktivierte Eigenleistungen,0.00,2010,8320
Natur- und Landschaftspflege, Fließende Gewässer,10,Ordentliche Erträge,-568944.21,2010,8321
Natur- und Landschaftspflege, Fließende Gewässer,11,Personalaufwendungen,164221.56,2010,8322
Natur- und Landschaftspflege, Fließende Gewässer,12,Versorgungsaufwendungen,2426.00,2010,8323
Natur- und Landschaftspflege, Fließende Gewässer,13,Aufwendungen f.Sach-/Dienstleistungen,599315.32,2010,8324
Natur- und Landschaftspflege, Fließende Gewässer,14,Bilanzielle Abschreibungen,227781.95,2010,8325
Natur- und Landschaftspflege, Fließende Gewässer,16,Sonstige ordentliche Aufwendungen,5221.47,2010,8326
Natur- und Landschaftspflege, Fließende Gewässer,17,Ordentliche Aufwendungen,998966.30,2010,8327
Natur- und Landschaftspflege, Fließende Gewässer,18,Ordentliches Ergebnis,430022.09,2010,8328
Natur- und Landschaftspflege, Fließende Gewässer,20,Zinsen u. sonstige Finanzaufwendungen,0.00,2010,8329
Natur- und Landschaftspflege, Fließende Gewässer,21,Finanzergebnis,0.00,2010,8330
Natur- und Landschaftspflege, Fließende Gewässer,22,Ergebnis lfd. Verwaltungstätigkeit,430022.09,2010,8331
Natur- und Landschaftspflege, Fließende Gewässer,26,Ergebnis vor int.Leistungsbeziehungen,430022.09,2010,8332
Natur- und Landschaftspflege, Fließende Gewässer,28,Aufwend. aus int.Leistungsbeziehungen,11130.00,2010,8333
Natur- und Landschaftspflege, Fließende Gewässer,Interne,Leistungsbeziehungen,11130.00,2010,8334
Natur- und Landschaftspflege, Wald und Forstwirtschaft,2,Zuwendungen und allgemeine Umlagen,0.00,2010,8336
Natur- und Landschaftspflege, Wald und Forstwirtschaft,5,Privatrechtliche Leistungsentgelte,-30506.95,2010,8337
Natur- und Landschaftspflege, Wald und Forstwirtschaft,6,Kostenerstattungen und Kostenumlagen,-169456.72,2010,8338
Natur- und Landschaftspflege, Wald und Forstwirtschaft,7,Sonstige ordentliche Erträge,-679.25,2010,8339
Natur- und Landschaftspflege, Wald und Forstwirtschaft,10,Ordentliche Erträge,-200642.92,2010,8340
Natur- und Landschaftspflege, Wald und Forstwirtschaft,11,Personalaufwendungen,292579.65,2010,8341
Natur- und Landschaftspflege, Wald und Forstwirtschaft,12,Versorgungsaufwendungen,22850.37,2010,8342
Natur- und Landschaftspflege, Wald und Forstwirtschaft,13,Aufwendungen f.Sach-/Dienstleistungen,12874.08,2010,8343
Natur- und Landschaftspflege, Wald und Forstwirtschaft,14,Bilanzielle Abschreibungen,4539.09,2010,8344
Natur- und Landschaftspflege, Wald und Forstwirtschaft,16,Sonstige ordentliche Aufwendungen,21763.21,2010,8345
Natur- und Landschaftspflege, Wald und Forstwirtschaft,17,Ordentliche Aufwendungen,354606.40,2010,8346
Natur- und Landschaftspflege, Wald und Forstwirtschaft,18,Ordentliches Ergebnis,153963.48,2010,8347
Natur- und Landschaftspflege, Wald und Forstwirtschaft,22,Ergebnis lfd. Verwaltungstätigkeit,153963.48,2010,8348
Natur- und Landschaftspflege, Wald und Forstwirtschaft,26,Ergebnis vor int.Leistungsbeziehungen,153963.48,2010,8349
Natur- und Landschaftspflege, Wald und Forstwirtschaft,28,Aufwend. aus int.Leistungsbeziehungen,9319.92,2010,8350
Natur- und Landschaftspflege, Wald und Forstwirtschaft,Interne,Leistungsbeziehungen,9319.92,2010,8351
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",2,Zuwendungen und allgemeine Umlagen,-127828.90,2010,8353
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",4,Öffentlich-rechtl. Leistungsentgelte,-51047.00,2010,8354
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",5,Privatrechtliche Leistungsentgelte,-144.90,2010,8355
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",6,Kostenerstattungen und Kostenumlagen,-148483.48,2010,8356
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",7,Sonstige ordentliche Erträge,-6673.70,2010,8357
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",10,Ordentliche Erträge,-334177.98,2010,8358
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",11,Personalaufwendungen,1408939.17,2010,8359
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",12,Versorgungsaufwendungen,99804.74,2010,8360
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",13,Aufwendungen f.Sach-/Dienstleistungen,295487.57,2010,8361
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",14,Bilanzielle Abschreibungen,14862.20,2010,8362
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",15,Transferaufwendungen,207435.91,2010,8363
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",16,Sonstige ordentliche Aufwendungen,155181.06,2010,8364
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",17,Ordentliche Aufwendungen,2181710.65,2010,8365
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",18,Ordentliches Ergebnis,1847532.67,2010,8366
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",22,Ergebnis lfd. Verwaltungstätigkeit,1847532.67,2010,8367
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",26,Ergebnis vor int.Leistungsbeziehungen,1847532.67,2010,8368
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",28,Aufwend. aus int.Leistungsbeziehungen,60590.04,2010,8369
Umweltschutz," Übergreifender Umweltschutz, Klima, Immission, Boden, Abfall",Interne,Leistungsbeziehungen,60590.04,2010,8370
Wirtschaft und Tourismus, Anteile an Unternehmen,7,Sonstige ordentliche Erträge,-18448516.60,2010,8372
Wirtschaft und Tourismus, Anteile an Unternehmen,10,Ordentliche Erträge,-18448516.60,2010,8373
Wirtschaft und Tourismus, Anteile an Unternehmen,14,Bilanzielle Abschreibungen,1827401.38,2010,8374
Wirtschaft und Tourismus, Anteile an Unternehmen,15,Transferaufwendungen,6550000.00,2010,8375
Wirtschaft und Tourismus, Anteile an Unternehmen,16,Sonstige ordentliche Aufwendungen,3296495.57,2010,8376
Wirtschaft und Tourismus, Anteile an Unternehmen,17,Ordentliche Aufwendungen,11673896.95,2010,8377
Wirtschaft und Tourismus, Anteile an Unternehmen,18,Ordentliches Ergebnis,-6774619.65,2010,8378
Wirtschaft und Tourismus, Anteile an Unternehmen,19,Finanzerträge,-11016802.45,2010,8379
Wirtschaft und Tourismus, Anteile an Unternehmen,21,Finanzergebnis,-11016802.45,2010,8380
Wirtschaft und Tourismus, Anteile an Unternehmen,22,Ergebnis lfd. Verwaltungstätigkeit,-17791422.10,2010,8381
Wirtschaft und Tourismus, Anteile an Unternehmen,26,Ergebnis vor int.Leistungsbeziehungen,-17791422.10,2010,8382
Wirtschaft und Tourismus, Stadtmarketing (MM),7,Sonstige ordentliche Erträge,-150000.00,2010,8384
Wirtschaft und Tourismus, Stadtmarketing (MM),10,Ordentliche Erträge,-150000.00,2010,8385
Wirtschaft und Tourismus, Stadtmarketing (MM),15,Transferaufwendungen,2648000.00,2010,8386
Wirtschaft und Tourismus, Stadtmarketing (MM),17,Ordentliche Aufwendungen,2648000.00,2010,8387
Wirtschaft und Tourismus, Stadtmarketing (MM),18,Ordentliches Ergebnis,2498000.00,2010,8388
Wirtschaft und Tourismus, Stadtmarketing (MM),22,Ergebnis lfd. Verwaltungstätigkeit,2498000.00,2010,8389
Wirtschaft und Tourismus, Stadtmarketing (MM),26,Ergebnis vor int.Leistungsbeziehungen,2498000.00,2010,8390
Wirtschaft und Tourismus, Stadthalle Hiltrup,2,Zuwendungen und allgemeine Umlagen,0.00,2010,8392
Wirtschaft und Tourismus, Stadthalle Hiltrup,5,Privatrechtliche Leistungsentgelte,-195996.41,2010,8393
Wirtschaft und Tourismus, Stadthalle Hiltrup,10,Ordentliche Erträge,-195996.41,2010,8394
Wirtschaft und Tourismus, Stadthalle Hiltrup,11,Personalaufwendungen,195545.28,2010,8395
Wirtschaft und Tourismus, Stadthalle Hiltrup,13,Aufwendungen f.Sach-/Dienstleistungen,27120.61,2010,8396
Wirtschaft und Tourismus, Stadthalle Hiltrup,14,Bilanzielle Abschreibungen,2917.44,2010,8397
Wirtschaft und Tourismus, Stadthalle Hiltrup,16,Sonstige ordentliche Aufwendungen,65543.43,2010,8398
Wirtschaft und Tourismus, Stadthalle Hiltrup,17,Ordentliche Aufwendungen,291126.76,2010,8399
Wirtschaft und Tourismus, Stadthalle Hiltrup,18,Ordentliches Ergebnis,95130.35,2010,8400
Wirtschaft und Tourismus, Stadthalle Hiltrup,22,Ergebnis lfd. Verwaltungstätigkeit,95130.35,2010,8401
Wirtschaft und Tourismus, Stadthalle Hiltrup,26,Ergebnis vor int.Leistungsbeziehungen,95130.35,2010,8402
Wirtschaft und Tourismus, Stadthalle Hiltrup,28,Aufwend. aus int.Leistungsbeziehungen,6159.96,2010,8403
Wirtschaft und Tourismus, Stadthalle Hiltrup,Interne,Leistungsbeziehungen,6159.96,2010,8404
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,1,Steuern und ähnliche Abgaben,-418605778.39,2010,8406
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,2,Zuwendungen und allgemeine Umlagen,-46622917.41,2010,8407
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,7,Sonstige ordentliche Erträge,-10362079.60,2010,8408
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,10,Ordentliche Erträge,-475590775.40,2010,8409
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,14,Bilanzielle Abschreibungen,0.00,2010,8410
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,15,Transferaufwendungen,89908198.71,2010,8411
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,16,Sonstige ordentliche Aufwendungen,28625002.25,2010,8412
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,17,Ordentliche Aufwendungen,118533200.96,2010,8413
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,18,Ordentliches Ergebnis,-357057574.44,2010,8414
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,19,Finanzerträge,-905179.70,2010,8415
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,20,Zinsen u. sonstige Finanzaufwendungen,26904191.55,2010,8416
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,21,Finanzergebnis,25999011.85,2010,8417
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,22,Ergebnis lfd. Verwaltungstätigkeit,-331058562.59,2010,8418
Allgemeine Finanzwirtschaft, Allgemeine Finanzwirtschaft,26,Ergebnis vor int.Leistungsbeziehungen,-331058562.59,2010,8419
Stiftungen, Rechtlich unselbständige Stiftungen,7,Sonstige ordentliche Erträge,-36064.94,2010,8421
Stiftungen, Rechtlich unselbständige Stiftungen,10,Ordentliche Erträge,-36064.94,2010,8422
Stiftungen, Rechtlich unselbständige Stiftungen,16,Sonstige ordentliche Aufwendungen,21076.28,2010,8423
Stiftungen, Rechtlich unselbständige Stiftungen,17,Ordentliche Aufwendungen,21076.28,2010,8424
Stiftungen, Rechtlich unselbständige Stiftungen,18,Ordentliches Ergebnis,-14988.66,2010,8425
Stiftungen, Rechtlich unselbständige Stiftungen,22,Ergebnis lfd. Verwaltungstätigkeit,-14988.66,2010,8426
Stiftungen, Rechtlich unselbständige Stiftungen,26,Ergebnis vor int.Leistungsbeziehungen,-14988.66,2010,8427
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),2,Zuwendungen und allgemeine Umlagen,70.00,2011,8429
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),10,Ordentliche Erträge,70.00,2011,8430
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),13,Aufwendungen f.Sach-/Dienstleistungen,17857.59,2011,8431
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),15,Transferaufwendungen,145490.48,2011,8432
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),16,Sonstige ordentliche Aufwendungen,9514.77,2011,8433
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),17,Ordentliche Aufwendungen,172862.84,2011,8434
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),18,Ordentliches Ergebnis,172932.84,2011,8435
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),22,Ergebnis lfd. Verwaltungstätigkeit,172932.84,2011,8436
Innere Verwaltung, Bezirksvertretungen (frei verfügbare Mittel),26,Ergebnis vor int.Leistungsbeziehungen,172932.84,2011,8437
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",2,Zuwendungen und allgemeine Umlagen,-3664.70,2011,8439
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",4,Öffentlich-rechtl. Leistungsentgelte,-182.07,2011,8440
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",5,Privatrechtliche Leistungsentgelte,-25543.60,2011,8441
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",6,Kostenerstattungen und Kostenumlag,-86.69,2011,8442
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",7,Sonstige ordentliche Erträge,-22663.93,2011,8443
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",10,Ordentliche Erträge,-52140.99,2011,8444
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",11,Personalaufwendungen,777394.60,2011,8445
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",12,Versorgungsaufwendungen,103800.59,2011,8446
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",13,Aufwendungen f.Sach-/Dienstleistungen,111185.71,2011,8447
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",14,Bilanzielle Abschreibungen,58513.83,2011,8448
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",15,Transferaufwendungen,2248479.17,2011,8449
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",16,Sonstige ordentliche Aufwendungen,2158161.30,2011,8450
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",17,Ordentliche Aufwendungen,5457535.20,2011,8451
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",18,Ordentliches Ergebnis,5405394.21,2011,8452
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",22,Ergebnis lfd. Verwaltungstätigkeit,5405394.21,2011,8453
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",26,Ergebnis vor int.Leistungsbeziehungen,5405394.21,2011,8454
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",28,Aufwend. aus int.Leistungsbeziehungen,530550.00,2011,8455
Innere Verwaltung," Geschäftsführung f. politische Gremien, Städtepartnerschaften",Interne,Leistungsbeziehungen,530550.00,2011,8456
Innere Verwaltung," OB, BM und Verwaltungsführung",2,Zuwendungen und allgemeine Umlagen,-182.07,2011,8458
Innere Verwaltung," OB, BM und Verwaltungsführung",6,Kostenerstattungen und Kostenumlagen,-47337.07,2011,8459
Innere Verwaltung," OB, BM und Verwaltungsführung",7,Sonstige ordentliche Erträge,-2302.06,2011,8460
Innere Verwaltung," OB, BM und Verwaltungsführung",10,Ordentliche Erträge,-49821.20,2011,8461
Innere Verwaltung," OB, BM und Verwaltungsführung",11,Personalaufwendungen,2503090.26,2011,8462
Innere Verwaltung," OB, BM und Verwaltungsführung",12,Versorgungsaufwendungen,528680.05,2011,8463
Innere Verwaltung," OB, BM und Verwaltungsführung",13,Aufwendungen f.Sach-/Dienstleistungen,118690.10,2011,8464
Innere Verwaltung," OB, BM und Verwaltungsführung",14,Bilanzielle Abschreibungen,11946.85,2011,8465
Innere Verwaltung," OB, BM und Verwaltungsführung",15,Transferaufwendungen,12200.00,2011,8466
Innere Verwaltung," OB, BM und Verwaltungsführung",16,Sonstige ordentliche Aufwendungen,182296.16,2011,8467
Innere Verwaltung," OB, BM und Verwaltungsführung",17,Ordentliche Aufwendungen,3356903.42,2011,8468
Innere Verwaltung," OB, BM und Verwaltungsführung",18,Ordentliches Ergebnis,3307082.22,2011,8469
Innere Verwaltung," OB, BM und Verwaltungsführung",22,Ergebnis lfd. Verwaltungstätigkeit,3307082.22,2011,8470
Innere Verwaltung," OB, BM und Verwaltungsführung",26,Ergebnis vor int.Leistungsbeziehungen,3307082.22,2011,8471
Innere Verwaltung," OB, BM und Verwaltungsführung",28,Aufwend. aus int.Leistungsbeziehungen,208930.00,2011,8472
Innere Verwaltung," OB, BM und Verwaltungsführung",Interne,Leistungsbeziehungen,208930.00,2011,8473
Innere Verwaltung, Gleichstellung von Frau und Mann,2,Zuwendungen und allgemeine Umlagen,-5550.00,2011,8475
Innere Verwaltung, Gleichstellung von Frau und Mann,5,Privatrechtliche Leistungsentgelte,-16814.42,2011,8476
Innere Verwaltung, Gleichstellung von Frau und Mann,10,Ordentliche Erträge,-22364.42,2011,8477
Innere Verwaltung, Gleichstellung von Frau und Mann,11,Personalaufwendungen,271647.12,2011,8478
Innere Verwaltung, Gleichstellung von Frau und Mann,12,Versorgungsaufwendungen,26860.35,2011,8479
Innere Verwaltung, Gleichstellung von Frau und Mann,13,Aufwendungen f.Sach-/Dienstleistungen,15747.60,2011,8480
Innere Verwaltung, Gleichstellung von Frau und Mann,14,Bilanzielle Abschreibungen,1955.99,2011,8481
Innere Verwaltung, Gleichstellung von Frau und Mann,15,Transferaufwendungen,270770.00,2011,8482
Innere Verwaltung, Gleichstellung von Frau und Mann,16,Sonstige ordentliche Aufwendungen,38781.92,2011,8483
Innere Verwaltung, Gleichstellung von Frau und Mann,17,Ordentliche Aufwendungen,625762.98,2011,8484
Innere Verwaltung, Gleichstellung von Frau und Mann,18,Ordentliches Ergebnis,603398.56,2011,8485
Innere Verwaltung, Gleichstellung von Frau und Mann,22,Ergebnis lfd. Verwaltungstätigkeit,603398.56,2011,8486
Innere Verwaltung, Gleichstellung von Frau und Mann,26,Ergebnis vor int.Leistungsbeziehungen,603398.56,2011,8487
Innere Verwaltung, Gleichstellung von Frau und Mann,28,Aufwend. aus int.Leistungsbeziehungen,24580.00,2011,8488
Innere Verwaltung, Gleichstellung von Frau und Mann,Interne,Leistungsbeziehungen,24580.00,2011,8489
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,6,Kostenerstattungen und Kostenumlagen,-118542.19,2011,8491
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,10,Ordentliche Erträge,-118542.19,2011,8492
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,11,Personalaufwendungen,650838.78,2011,8493
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,12,Versorgungsaufwendungen,50082.71,2011,8494
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,13,Aufwendungen f.Sach-/Dienstleistungen,78376.80,2011,8495
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,14,Bilanzielle Abschreibungen,1298.96,2011,8496
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,15,Transferaufwendungen,0.00,2011,8497
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,16,Sonstige ordentliche Aufwendungen,16989.44,2011,8498
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,17,Ordentliche Aufwendungen,797586.69,2011,8499
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,18,Ordentliches Ergebnis,679044.50,2011,8500
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,22,Ergebnis lfd. Verwaltungstätigkeit,679044.50,2011,8501
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,26,Ergebnis vor int.Leistungsbeziehungen,679044.50,2011,8502
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,28,Aufwend. aus int.Leistungsbeziehungen,24580.00,2011,8503
Innere Verwaltung, Personal- und Schwerbehindertenvertretung,Interne,Leistungsbeziehungen,24580.00,2011,8504
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,6,Kostenerstattungen und Kostenumlagen,-38740.00,2011,8506
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,7,Sonstige ordentliche Erträge,-4660.00,2011,8507
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,10,Ordentliche Erträge,-43400.00,2011,8508
Innere Verwaltung, Wirtschaftlichkeitsprüfung und Revision,11,Personalaufwendungen,959921.17,2011,8509
